n,K,AverageTime
1000,51,8.645e-05
1000,52,8.935e-05
1000,53,0.0001233
1000,54,8.755e-05
1000,55,0.0001061
1000,56,0.0001092
1000,57,8.77e-05
1000,58,9.05e-05
1000,59,9.725e-05
1000,60,8.9e-05
1000,61,9.455e-05
1000,62,7.69e-05
1000,63,8.105e-05
1000,64,8.565e-05
1000,65,6.61e-05
1000,66,6.745e-05
1000,67,6.8e-05
1000,68,8.33e-05
1000,69,6.875e-05
1000,70,6.73e-05
1000,71,6.79e-05
1000,72,0.0001005
1000,73,6.67e-05
1000,74,8.095e-05
1000,75,8.275e-05
1000,76,6.85e-05
1000,77,6.73e-05
1000,78,6.67e-05
1000,79,8.39e-05
1000,80,8.24e-05
1000,81,7.635e-05
1000,82,6.83e-05
1000,83,6.83e-05
1000,84,6.905e-05
1000,85,6.775e-05
1000,86,6.9e-05
1000,87,7.025e-05
1000,88,6.66e-05
1000,89,8.645e-05
1000,90,7.255e-05
1000,91,6.835e-05
1000,92,6.745e-05
1000,93,8.72e-05
1000,94,7.72e-05
1000,95,6.765e-05
1000,96,6.775e-05
1000,97,7.995e-05
1000,98,6.705e-05
1000,99,6.72e-05
1000,100,7.03e-05
5000,1,0.00281705
5000,2,0.00217755
5000,3,0.00163325
5000,4,0.00157315
5000,5,0.00115145
5000,6,0.00122785
5000,7,0.00115765
5000,8,0.0011501
5000,9,0.00105325
5000,10,0.0008677
5000,11,0.00087065
5000,12,0.00087035
5000,13,0.00089875
5000,14,0.00088245
5000,15,0.0008514
5000,16,0.00107835
5000,17,0.00118645
5000,18,0.00120825
5000,19,0.00097405
5000,20,0.00088765
5000,21,0.0008948
5000,22,0.0008816
5000,23,0.0008072
5000,24,0.0007605
5000,25,0.00081605
5000,26,0.0008253
5000,27,0.0008033
5000,28,0.0007053
5000,29,0.0007285
5000,30,0.0007954
5000,31,0.00074505
5000,32,0.00069435
5000,33,0.00074535
5000,34,0.000736
5000,35,0.00072455
5000,36,0.00074755
5000,37,0.0006894
5000,38,0.00072475
5000,39,0.0005991
5000,40,0.00058235
5000,41,0.00062185
5000,42,0.00058645
5000,43,0.00059485
5000,44,0.0006133
5000,45,0.0005973
5000,46,0.0006111
5000,47,0.00059705
5000,48,0.00062075
5000,49,0.00058505
5000,50,0.00058045
5000,51,0.00061995
5000,52,0.000568
5000,53,0.00056495
5000,54,0.00062075
5000,55,0.0006111
5000,56,0.0005785
5000,57,0.00056635
5000,58,0.0007415
5000,59,0.00058075
5000,60,0.0005869
5000,61,0.0006056
5000,62,0.00057125
5000,63,0.00058655
5000,64,0.0006007
5000,65,0.00058885
5000,66,0.0005725
5000,67,0.0005882
5000,68,0.0005736
5000,69,0.0005727
5000,70,0.00056395
5000,71,0.00056705
5000,72,0.0006071
5000,73,0.00057705
5000,74,0.0005912
5000,75,0.0005957
5000,76,0.000579
5000,77,0.00064615
5000,78,0.0005373
5000,79,0.00054245
5000,80,0.00056565
5000,81,0.00062495
5000,82,0.00075785
5000,83,0.00059985
5000,84,0.0005731
5000,85,0.0004846
5000,86,0.00053065
5000,87,0.0004729
5000,88,0.0004869
5000,89,0.0005017
5000,90,0.00047485
5000,91,0.00049
5000,92,0.00050495
5000,93,0.00048455
5000,94,0.00047965
5000,95,0.00057425
5000,96,0.0005376
5000,97,0.00053895
5000,98,0.0004904
5000,99,0.0005515
5000,100,0.00048035
10000,1,0.00642685
10000,2,0.0042272
10000,3,0.0034557
10000,4,0.0034885
10000,5,0.002463
10000,6,0.00243785
10000,7,0.0023754
10000,8,0.0022628
10000,9,0.00209405
10000,10,0.0017307
10000,11,0.00166865
10000,12,0.0017346
10000,13,0.00176225
10000,14,0.00215765
10000,15,0.00151385
10000,16,0.00205105
10000,17,0.0016666
10000,18,0.0014572
10000,19,0.00131945
10000,20,0.0011736
10000,21,0.0012136
10000,22,0.00117645
10000,23,0.00119495
10000,24,0.00119375
10000,25,0.001197
10000,26,0.00120395
10000,27,0.00114225
10000,28,0.0012449
10000,29,0.00117835
10000,30,0.00125225
10000,31,0.0011909
10000,32,0.0012694
10000,33,0.00120925
10000,34,0.00125795
10000,35,0.0011882
10000,36,0.0011875
10000,37,0.0013669
10000,38,0.0011923
10000,39,0.001006
10000,40,0.0010189
10000,41,0.0010472
10000,42,0.0011105
10000,43,0.0011803
10000,44,0.00102905
10000,45,0.00150205
10000,46,0.0016371
10000,47,0.00102335
10000,48,0.0010192
10000,49,0.00101045
10000,50,0.0009759
10000,51,0.00097845
10000,52,0.00103765
10000,53,0.0010381
10000,54,0.0011218
10000,55,0.0009929
10000,56,0.00099225
10000,57,0.00099175
10000,58,0.00103645
10000,59,0.00103715
10000,60,0.00102645
10000,61,0.00107625
10000,62,0.001025
10000,63,0.0010011
10000,64,0.00103695
10000,65,0.00099245
10000,66,0.00117355
10000,67,0.00100005
10000,68,0.0010076
10000,69,0.00102305
10000,70,0.0010866
10000,71,0.001052
10000,72,0.0010161
10000,73,0.00099185
10000,74,0.00100005
10000,75,0.00114325
10000,76,0.00117705
10000,77,0.00113705
10000,78,0.00106345
10000,79,0.0009187
10000,80,0.00089525
10000,81,0.0009516
10000,82,0.0010148
10000,83,0.0008652
10000,84,0.00112855
10000,85,0.00099255
10000,86,0.0011815
10000,87,0.00112085
10000,88,0.0010896
10000,89,0.0010593
10000,90,0.0010001
10000,91,0.0008986
10000,92,0.00105005
10000,93,0.00089065
10000,94,0.0009589
10000,95,0.0008646
10000,96,0.0008721
10000,97,0.00086435
10000,98,0.0008874
10000,99,0.00086795
10000,100,0.0008531
