n,K,AverageTime
10000,16,0.0029372
10000,17,0.0029831
10000,18,0.003101
10000,19,0.00287655
10000,20,0.00248665
10000,21,0.00246475
10000,22,0.00274645
10000,23,0.00265895
10000,24,0.0024045
10000,25,0.0026164
10000,26,0.0025782
10000,27,0.0027727
10000,28,0.00319175
10000,29,0.00291625
10000,30,0.00297695
10000,31,0.00283735
10000,32,0.0027067
10000,33,0.0024432
10000,34,0.00249365
10000,35,0.00258945
10000,36,0.00262985
10000,37,0.00279105
10000,38,0.0026958
10000,39,0.00252125
10000,40,0.00253345
10000,41,0.00273655
10000,42,0.0026365
10000,43,0.0028242
10000,44,0.0031842
10000,45,0.0027258
10000,46,0.00223085
10000,47,0.00264435
10000,48,0.00250185
10000,49,0.00252895
10000,50,0.00283305
10000,51,0.0027886
10000,52,0.0027593
10000,53,0.00288745
10000,54,0.00250775
10000,55,0.00274785
10000,56,0.0029103
10000,57,0.0033493
10000,58,0.00274305
10000,59,0.00210495
10000,60,0.0027143
10000,61,0.0025229
10000,62,0.0027493
10000,63,0.00283035
10000,64,0.00533075
10000,65,0.0031697
10000,66,0.00205735
10000,67,0.00306055
10000,68,0.0038206
10000,69,0.0036651
10000,70,0.00444295
10000,71,0.003361
10000,72,0.0034457
10000,73,0.0029264
10000,74,0.0036136
10000,75,0.00317975
10000,76,0.0028395
10000,77,0.00302535
10000,78,0.00340585
10000,79,0.0034676
10000,80,0.00310325
10000,81,0.0032046
10000,82,0.00339185
10000,83,0.0030402
10000,84,0.0028682
10000,85,0.00326085
10000,86,0.0033512
10000,87,0.002572
10000,88,0.00344735
10000,89,0.00262975
10000,90,0.0029669
10000,91,0.00298995
10000,92,0.0043221
10000,93,0.0046735
10000,94,0.0042462
10000,95,0.0035331
10000,96,0.00344355
10000,97,0.00308615
10000,98,0.00313255
10000,99,0.0030155
10000,100,0.003604
